Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদীয়ে আজি নেদাৰলেণ্ডছৰ মহাৰাণী মহামহিম মেক্সিমাক সাক্ষাৎ কৰে৷
“When I meet you, I also feel that communication of our people living in foreign countries with government authorities in India is not a one way traffic any more,” the Prime Minister said.	প্ৰধানমন্ত্ৰীয়ে কয়, “যেতিয়া মই আপোনালোকক লগ পাওঁ, মোৰ এনে অনুভৱ হয় যে বিদেশত থকা আমাৰ লোকসকলৰ সৈতে ভাৰত চৰকাৰৰ কৰ্তৃপক্ষই যোগাযোগ কৰাটো কেতিয়াও একপক্ষীয় নহয়।”
“We are not merely reforming our country, we are transforming it,” the Prime Minister asserted, adding that an India free from poverty, terrorism, corruption, communalism, and casteism is being created.	দৰিদ্ৰ, সন্ত্ৰাস, দুৰ্নীতি, সাম্প্ৰদায়িকতা আৰু জাতিভেদমুক্ত এখন ভাৰত গঢ় দিবলৈ আহ্বান জনাই প্ৰধানমন্ত্ৰীয়ে কয়, “আমি আমাৰ দেশৰ সংস্কাৰ কৰিব খোজা নাই, ইয়াৰ পৰিৱৰ্তনহে আনিছোঁ”।
The Prime Minister said that the Union Government in India is focusing on infrastructure.	প্ৰধানমন্ত্ৰীয়ে কয় যে ভাৰত চৰকাৰে আন্তঃগাঁথনি উন্নয়নত গুৰুত্ব দিছে।
He said that good infrastructure is no longer about roads and railways alone – it includes several other aspects that bring about a qualitative change in society.	ভাল আন্তঃগাঁথনি মানে পথ আৰু ৰে’লকে নুবুজায়-ইয়াত সমাজৰ গুণগত পৰিৱৰ্তন আনিব পৰা আন কেতবোৰ কাৰকো আছে।
He said that the Government has not shied away from taking decisions that are tough.	তেওঁ কয় যে ভাৰত চৰকাৰে যিকোনো কঠোৰ সিদ্ধান্ত ল’বলৈ কেতিয়াও কুণ্ঠাবোধ নকৰে।
The Prime Minister said GST is ushering in a new culture across the nation.	প্ৰধানমন্ত্ৰীয়ে কয় যে জিএছটিয়ে সমগ্ৰ দেশতে নতুন সংস্কৃতিৰ উত্থান ঘটাইছে।
He said that the people of India have the confidence that India can be transformed and we can break free from some of the evils that entered our system.	তেওঁ কয় যে ভাৰতীয় সকলৰ বিশ্বাস যে ভাৰতক পৰিৱৰ্তন কৰিব পাৰি আৰু আমি আমাৰ ব্যৱস্থাত প্ৰৱেশ কৰা বেয়া দিশবোৰ নিৰ্মূল কৰিব পাৰিম।
The Prime Minister said that people-to-people ties are the strength of India-Myanmar relations.	প্ৰধানমন্ত্ৰীয়ে কয় যে ভাৰত-ম্যানমাৰৰ লোকসকলৰ সম্পৰ্কই দুয়ো দেশৰ সম্পৰ্কক শক্তিশালী কৰি তুলিব।
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved the Memorandum of Understanding (MoU) between India and Russia on Bilateral Cooperation in the Road Transport and Road Industry.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ পৌৰোহিত্যত অনুষ্ঠিত কেন্দ্ৰীয় কেবিনেটৰ বৈঠকত ভাৰত আৰু ৰাছিয়াৰ মাজত পথ পৰিবহণ আৰু পথ উদ্যোগৰ ক্ষেত্ৰত দ্বিপাক্ষিক সহযোগিতাৰ বাবে বুজাবুজিৰ চুক্তিত অনুমোদন জনোৱা হয়।
The MoU will be signed during the upcoming visit of Russian President to India.	ৰাছিয়াৰ ৰাষ্ট্ৰপতিৰ ভাৰত আগমণৰ সময়ত এই চুক্তি স্বাক্ষৰিত হ’ব।
In order to develop and establish formal platform for cooperation in the Transport and Highways sector, a Memorandum of Understanding in the field of Road Transport and Road Industry has been jointly negotiated and finalized by both countries.	পথ পৰিবহণ আৰু ঘাইপথৰ ক্ষেত্ৰত এক আনুষ্ঠানিক মঞ্চ প্ৰতিষ্ঠাৰ বাবে এখন চুক্তি দুয়োখন দেশে আলোচনা কৰি যুটীয়াভাৱে চূড়ান্ত কৰিছিল।
Both the countries will benefit by mutual cooperation in the field of Road Transport and Road Industry.	এই চুক্তি স্বাক্ষৰিত হ’লে পথ পৰিবহণ আৰু পথ উদ্যোগৰ ক্ষেত্ৰত পাৰস্পৰিক সহযোগিতাৰদ্বাৰা দুয়োখন দেশেই লাভান্বিত হ’ব।
Increased co-operation, exchange and collaboration with Russia will contribute to establish a long-term and effective bilateral relationship of communication and cooperation in road transportation and road industry and Intelligent Transport System (ITS).	ৰাছিয়াৰ লগত বৰ্দ্ধিত সহযোগিতা, বিনিময় তথা সংঘবদ্ধতাই পথ পৰিবহণ আৰু পথ উদ্যোগ তথা বুদ্ধিদ্বীপ্ত পৰিবহণ ব্যৱস্থাৰ ক্ষেত্ৰত দীৰ্ঘম্যাদী তথা প্ৰভাৱশালী দ্বিপাক্ষিক সম্পৰ্ক প্ৰতিষ্ঠাত সহায় কৰিব।
Background: India and Russia enjoy long-standing relationship and have maintained strong economic ties at a strategic partnership level.	ভাৰত আৰু ৰাছিয়াৰ মাজত দীৰ্ঘদিনীয়া সম্পৰ্ক আছে আৰু অৰ্থনৈতিক আৰু কূটনৈতিক দিশত শক্তিশালী দ্বিপাক্ষিক সম্পৰ্ক ৰক্ষা কৰি আহিছে।ৰাছিয়াই কৃত্ৰিম উপগ্ৰহৰ ওপৰত ভিত্তি কৰি কৰা ট’লিং সমাধানৰ বাবে প্ৰযুক্তিগত সমাধান উলিয়াইছে।
Considering Russia’s proven experience in adoption of technology in the road transport sector, it would be beneficial to learn from such best practices through close interaction.	ভাৰতে ঘাইপথ আন্তগাঁথনিৰ দিশত অতি ক্ষীপ্ৰতাৰে কাম কৰি আছে।পথ আন্তগাঁথনিৰ সম্পূৰ্ণতাৰ বাবে তথা পৰিবহণ ব্যৱস্থা আৰু সুৰক্ষা উন্নত কৰিবৰ বাবে প্ৰযুক্তিৰ ব্যৱহাৰ অতি প্ৰয়োজনীয়।ইয়াৰ ফলত সামগ্ৰিক পৰিবহণৰ খৰচ হ্ৰাস পাব।
India is implementing at a rapid pace its highway infrastructure augmentation plans.	ৰাছিয়াৰ আন্তগাঁথনি উন্নয়ন সংস্থাসমূহে ভাৰতৰ নিজা বৃহৎ ঘাইপথ আন্তগাঁথনি তথা অতিদ্ৰুতবেগী পথ আন্তগাঁথনি উন্নয়নৰ আকৰ্ষণীয় আঁচনিৰ লগত জড়িত হোৱাৰ সুবিধা লাভ কৰিব।
To make full use of the road infrastructure it is necessary to embrace technology to enhance transport productivity and safety.	দুয়োখন দেশৰ সহযোগিতাই প্ৰশাসনিক দিশৰ মত বিনিময়ৰ এক আনুষ্ঠানিক মঞ্চ প্ৰদান কৰাৰ লগতে দুয়োখন দেশ সদস্য হিচাপে জড়িত থকা সকলো আন্তঃৰাষ্ট্ৰীয় সংস্থা তথা মঞ্চৰ পদক্ষেপক সহায় কৰিব।
India’s contribution to global economic growth and prosperity underlines our commitment to “Building Consensus for Fair and Sustainable Development”, which is the theme of the Summit.	গোলকীয় অৰ্থনৈতিক বিকাশ আৰু সমৃদ্ধিৰ প্ৰতি ভাৰতৰ অৱদানে সন্মিলনৰ বিষয়বস্তু ‘স্বচ্ছ আৰু বহনক্ষম উন্নয়নৰ বাবে সহমতত উপনীত হোৱা’ৰ প্ৰতি আমাৰ সংকল্পক প্ৰতিফলিত কৰে৷
Flags off First Phase of Ahmedabad Metro; Inaugurates the New Civil Hospital and New Cancer Hospital	প্ৰধানমন্ত্ৰীশ্রীনৰেন্দ্ৰমোদীয়েআজি আহমেদাবাদভ্ৰমণকৰে।
The Prime Minister, Shri Narendra Modi, today, visited Ahmedabad and launched various development projects.	এই ভ্ৰমণকালতে তেওঁ ভালেমান উন্নয়নমূলকপ্ৰকল্পও মুকলি কৰে।
At Vastral Gam Metro Station in Ahmedabad, the Prime Ministerinaugurated the first phase of Ahmedabad Metro Service.	আহমেদাবাদৰভাস্ত্রালগামমেট্রোষ্টেশ্যনতপ্ৰধানমন্ত্ৰীয়ে আহমেদাবাদমেট্রোৰপ্ৰথমপর্যায়ৰযাত্রাৰশুভাৰম্ভ কৰে।
He laid the foundation stone for the second phase of the Ahmedabad Metro.	তেওঁ আহমেদাবাদমেট্রোৰদ্বিতীয়পর্যায়ৰৰো আধাৰশিলা স্থাপন কৰে।
India’s first indigenously developed payment eco-system and automatic fare collection system based on One Nation, One Card Model was also unveiled.	এইঅনুষ্ঠানত ‘একদেশএককার্ড’ মডেলঅনুসৰিস্বয়ংক্রিয়ভাৱেযাত্রীভাড়াসংগ্ৰহৰবাবেসম্পূর্ণদেশীয়প্ৰযুক্তিৰেনির্মিতপৰিৱেশ আৰু ব্যৱহাৰৰ অনুকূল ব্যৱস্থা আৰম্ভ কৰা হৈছে।
He then flagged off the Metro train and took a ride in the metro.	প্ৰধানমন্ত্ৰীয়ে ইয়াৰ পিছতে ফ্লেগ অফ কৰি মেট্রোৰে’লৰযাত্রাশুভাৰম্ভ কৰে আৰু এই মেট্ৰ’তে ভ্ৰমণো কৰে।
The Prime Minister, inaugurated the 1200 bed New Civil Hospital, New Cancer Hospital, Dental Hospital and Eye Hospital in Ahmedabad.	ইফালে আহমেদাবাদতপ্ৰধানমন্ত্ৰীয়ে ১২০০ খন বিচনাযুক্ত এক নতুনঅসামৰিক চিকিৎসালয়, এখন কেন্সাৰ হস্পিতাল, দন্ত চিকিৎসালয় আৰু চকপ চিকিৎসালয়ো উদ্বোধন কৰে।
He said that the metro will provide a convenient and environment friendly mode of transportation for the people in Ahmedabad.	আহমেদাবাদৰজনসাধাৰণে এতিয়াৰে পৰা এই ৰে’লযোগে আৰামপ্ৰদআৰু পৰিৱেশ অনুকূল পৰিবহনব্যবস্থাব্যবহাৰকৰাৰসুযোগলাভ কৰিব।
Before 2014, there was only 250 km operationalnetwork of metro in the country, while now there is 655 km.	তেওঁ লগতে কয়, ২০১৪ চনৰ পূৰ্বেদেশতমাত্ৰআঢ়ৈশ কিলোমিটাৰপথতহেমেট্রোৰে’ল চলিছিল।
The Prime Minister said that the common mobility card unveiled today, eliminates the need for having multiple cards for travelling in metro and using other means of transportation throughout the country.	প্ৰধানমন্ত্ৰীয়ে লগতে কয়, দেশজুৰিমেট্রোৰে’ল আৰু অন্যান্য পৰিবহনব্যবস্থাৰসুযোগগ্ৰহণৰবাবেএকাধিককার্ডব্যৱহাৰৰ পৰিৱর্তেএখনেই কার্ডব্যৱহাৰৰলক্ষ্যৰে ‘কমনমবিলিটিকার্ড’ আৰম্ভ কৰা হৈছে।
He said the card would ensure ‘One Nation-One Card’ for mobility.	এইকাৰ্ডে ‘একদেশএককার্ড’-ৰ পৰিকল্পনাকবাস্তৱায়িত কৰিব।
India is one of the few countries in the worldhaving aOne Nation-One Card fortransportation, PM added.	পৃথিৱীৰভিতৰত যিকেইখন দেশতৰাজহুৱা পৰিৱহন ব্যৱস্থাত ‘একদেশএককার্ড’ ব্যবস্থা চলি আছে, সেই দেশসমূহৰ ভিতৰত এতিয়া ভাৰতেও স্থান অধিকাৰ কৰিলে।
He also explained in detail the various schemes undertaken for the welfare of Adivasi community in the State.	প্ৰধানমন্ত্ৰীয়েৰাজ্যখনৰ বিভিন্ন জনজাতীয় সম্প্ৰদায়ৰলোকসকলৰ বাবে গৃহীতবিভিন্ন আঁচনিৰ কথাও উল্লেখ কৰে তেওঁৰ ভাষণত।
The transformation of the Gujarat in the past couple of decades is due to meticulous planning and hard work of the people in the State, PM said.	প্ৰধানমন্ত্ৰীয়েকয়, বিগতভালেমানদশকধৰিগুজৰাটতযি পৰিৱর্তনহৈছে, ইয়াৰ অন্তৰালত আছেসুসংহত পৰিকল্পনাআৰু ৰাজ্যবাসীৰকঠোৰ পৰিশ্ৰম।
He mentioned that the multitude the infrastructural development projects being implemented in Gujarat will transform the State massively.	প্ৰধানমন্ত্ৰীয়েকয়, যেতিয়ালোথালমেৰিটাইমহেৰিটেজকমপ্লেক্সৰকামসম্পূর্ণ হ’বতেতিয়া ই হৈ উঠিব সমগ্ৰ ৰাজ্যৰেইপর্যটনউদ্যোগৰ এক আকর্ষণীয়স্থান।
He said that the museum will have world class facilities and will increase the tourism potential of the State.	শ্রীনৰেন্দ্ৰমোদীয়েকয়, কেন্দ্রীয়চৰকাৰেস্বাস্থ্যসেৱাৰ প্ৰতি বিশেষ গুৰুত্ব আৰোপ কৰি আহিছে।
He also mentioned about the world classhealth facilities being built throughout Gujarat.He added that once completed, Medicity will cater to around ten thousand patients.	সমগ্ৰ গুজৰাটতেই বিশ্বমানৰ স্বাস্থ্য সেৱা উপলব্ধ কৰোৱাৰ প্ৰসঙ্গ উল্লেখ কৰি তেওঁ কয়, ‘মেডিচিটি’ নিৰ্মাণ হ’লে ১০ হাজাৰৰোগী ইয়াৰ দ্বাৰা উপকৃত হ’ব।
Narendra Modi said that the Government is committed towards fighting all the menaces in the country, ranging from corruption to terrorism.	প্ৰধানমন্ত্ৰী মোদীয়ে কয়, দূর্নীতিৰ পৰা উগ্ৰবাদলৈ যিকোনো ধৰণৰ বিপদৰ সৈতে যুঁজ দিয়াৰ বাবে চৰকাৰ দায়বদ্ধ।
He assured the people that strict action will be taken against elements working against the nation.	তেওঁজনসাধাৰণক আস্থা প্ৰদান কৰি কয়, যিসকলে দেশৰবিৰুদ্ধেকাম কৰিছে, তেওঁলোকৰ বিৰুদ্ধে কঠোৰ ব্যৱস্থা গ্ৰহণ কৰা হ’ব।
The Prime Minister, Shri Narendra Modi, visited Sampla, Rohtak in Haryana today.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে আজি হাৰিয়ানাৰ ছাম্পলা, ৰোহটক ভ্ৰমণ কৰে৷
The Prime Minister, Shri Narendra Modi, interacted with around 380 Directors and Deputy Secretaries working in various departments and Ministries in the Government of India, in four groups.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে ভাৰত চৰকাৰৰ বিভিন্ন বিভাগ তথা মন্ত্ৰালয়ত কৰ্মৰত প্ৰায় ৩৮০ গৰাকী সঞ্চালক আৰু উপ-সচিবৰ সৈতে চাৰিটা গোটত বাৰ্তালাপত মিলিত হয়।
The interactions happened on various days in the month of October 2017.	২০১৭ৰ অক্টোবৰ মাহত এই বাৰ্তালাপ বেলেগে বেলেগে অনুষ্ঠিত হয়।
The last of these interactions was on October 17, 2017.	১৭ অক্টোবৰত অন্তিম লানি বাৰ্তালাপ অনুষ্ঠিত হৈছিল।
Each interaction lasted around two hours.	প্ৰতি লানি বাৰ্তালাপ প্ৰায় দুঘণ্টাকৈ হৈছিল।
Subjects such as Governance, Corruption, Public Enterprises, Government e-Marketplace, Health, Education, Skill Development, Agriculture, Transportation, National Integration, Water Resources, Swachh Bharat, Culture, Communication, and Tourism came up for discussion during the interactions.	বাৰ্তালাপ সময়ত আলোচিত হোৱা বিষয়সমূহৰ ভিতৰত প্ৰশাসন, দুৰ্নীতি, ৰাজহুৱা প্ৰতিষ্ঠান, চৰকাৰী ই-বজাৰ, স্বাস্থ্য, শিক্ষা, দক্ষতা বিকাশ, কৃষি, পৰিবহণ, ৰাষ্ট্ৰীয় সংহতি, জল সম্পদ, স্বচ্চ ভাৰত, সংস্কৃতি, যোগাযোগ আৰু পৰ্যটন উল্লেখযোগ্য।
The Prime Minister exhorted the officers to work with full dedication towards creation of New India by 2022.	প্ৰধানমন্ত্ৰীয়ে প্ৰতিগৰাকী বিষয়াক ২০২২ চনৰ ভিতৰত নতুন ভাৰত গঢ়াৰ লক্ষ্যৰে সম্পূৰ্ণ উচৰ্গিত মনোভাৱেৰে কাম কৰিবলৈ আহ্বান জনায়।
He said that silos are a big bottleneck in the functioning of the Union Government.	তেওঁ কয় যে কেন্দ্ৰীয় চৰকাৰৰ কাম-কাজত স্থবিৰতাই প্ৰতিবন্ধকতা সৃষ্টি কৰে।
In the same vein, he said officers at the level of Director and Deputy Secretary must create teams, to achieve better results.	তেওঁ কয় যে বিষয়া আৰু উপ-সচিব পদত কর্মৰত বিষয়াসকলে নিজৰ মাজত টীম তৈয়াৰ কৰি এনেদৰে কাম কৰিব লাগিব, যাতে উন্নত ফল নিশ্চিত হয়।
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved the signing of a Memorandum of Understanding (MoU) between India and Egypt for cooperation in the field of agriculture & allied sectors.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ পৌৰহিত্যত কেন্দ্ৰীয় কেবিনেটে কৃষি তথা এই সম্বন্ধীয় অন্যান্য ক্ষেত্ৰত হোৱা সহযোগিতাৰ বুজাবুজিৰ চুক্তিত ভাৰত আৰু ইজিপ্টে কৰা হস্তাক্ষৰত অনুমোদন জনাইছে৷
The MoU provides for cooperation in areas of agricultural crops (especially wheat and maize), agricultural biotechnology, nanotechnology, irrigation and water management technology including water harvesting and micro-irrigation technology, management of agriculture wastes management for energy production; food security, safety and quality; horticulture; organic agriculture; livestock husbandry, livestock breeding, dairying, fisheries, feed and fodder production; animal products and value addition; sanitary and phyto-sanitary issues concerning trade in plant and animal products; agriculture machinery in small scale; agri-business and marketing; pre and post-harvest procedures; food technology and processing; integrated pest management in agriculture; agricultural extension and rural development; agricultural trade & investment; intellectual property rights issues; technical know-how and human resources in seed sector; infrastructure development and capacity building in agriculture & allied sectors and other related areas of interest that are mutually agreed upon by both Parties.	এই এমঅ’ইউৰ অধীনত সহযোগিতা ক্ষেত্ৰত শস্য (বিশেষকৈ ঘেঁহু আৰু মাকৈ), কৃষি জৈৱ প্ৰদ্যোগিকী, নেন’ প্ৰযুক্তি, জল সংৰক্ষণ তথা সুক্ষ্ণ জলসিঞ্চন প্ৰযুক্তি সহিতে জলসিঞ্চন তথা জল ব্যৱস্থাপনা প্ৰযুক্তি, শক্তি উৎপাদনৰ বাবে কৃষি অপশিষ্ট ব্যৱস্থাপনা, খাদ্য সংৰক্ষণ, সুৰক্ষা তথা গুণগততা, জৈৱিক কৃষি, পশুপালন, মীন পালন, দানা উৎপাদন, কৃষি উৎপাদন তথা মূল্যবৰ্ধন, পশু উৎপাদনৰ ব্যৱসায় সম্বন্ধীয় স্বচ্ছতাৰ বিষয়সমূহ, কৃষি উপকৰণ, কৃষি কাৰবাৰ তথা বিপণন, শস্য কটাৰ পূৰ্বে আৰু পিছত হোৱা প্ৰক্ৰিয়াসমূহ, খাদ্য প্ৰযুক্তি তথা সংসাধন, কৃষিৰ কীট ব্যৱস্থাপনা, কৃষি বিস্তাৰ তথা গ্ৰামীণ বিকাশ, কৃষি ব্যৱসায় তথা বিনিয়োগ, বৌদ্ধিক সম্পদ অধিকাৰ সম্বন্ধীয় বিষয়সমূহ, বীজৰ ক্ষেত্ৰত প্ৰযুক্তিগত জ্ঞান তথা মানৱ সংসাধন আৰু পাৰস্পৰিক হিতৰ অন্য সহমতৰ বিষয়সমূহো অন্তৰ্ভুক্ত আছে৷
Cooperation will also be effected through exchange of research scientists and experts; exchange of agricultural information and scientific publications (journals, books, bulletins, statistical data on agriculture and allied sectors); exchange of germplasm & agriculture technology; and conducting joint seminars, workshops, symposiums and other similar activities.	বৈজ্ঞানিক তথা বিশেষজ্ঞসকলৰ আদান–প্ৰদান, কৃষি সম্বন্ধীয় তথ্য তথা বিজ্ঞান সম্বন্ধীয় প্ৰকাশন (পত্ৰ–পত্ৰিকা, কিতাপ, বুলেটিন, কৃষি তথা সহায়ক ক্ষেত্ৰৰ সংখ্যা), জাৰ্মপ্লাজম তথা কৃষি প্ৰযুক্তিৰ আদান–প্ৰদান আৰু ছেমিনাৰসমূহ, কৰ্মশালা তথা অন্য গতিবিধিসমূহৰ জৰিয়তে সহযোগিতাক অধিক প্ৰভাৱশালী কৰা হ’ব৷
The Prime Minister, Shri Narendra Modi has paid tributes to former President Dr. A.P.J. Abdul Kalam on his birth anniversary.	আজি দেশৰ প্ৰাক্তন ৰাষ্ট্ৰপতি ড. এপিজে আব্দুল কালামৰ জন্মজয়ন্তী উপলক্ষে প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে যুগদ্ৰষ্টা পুৰুষগৰাকীলৈ শ্ৰদ্ধাঞ্জলি অৰ্পন কৰে৷
The Prime Minister said, “Remembering our beloved former President, Dr. APJ Abdul Kalam on his birth anniversary.	প্ৰধানমন্ত্ৰীয়ে কয়, ‘‘আমাৰ সকলোৰে অতি আদৰৰ প্ৰাক্তন ৰাষ্ট্ৰপতি ড. এপিজে আব্দুল কালামক শ্ৰদ্ধাৰে সুঁৱৰিছো৷ তেখেতৰ বিস্তীৰ্ণ ব্যক্তিত্ব প্ৰজন্মই প্ৰজন্মই প্ৰেৰণাৰ কাৰক হৈ ৰ’ব৷’’
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved the Memorandum of Understanding between India and Japan on Development of Advanced Model Single Window.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত অনুষ্ঠিত কেন্দ্ৰীয় কেবিনেটে উন্নত মডেল ছিংগল উইণ্ডোৰ বিকাশত ভাৰত আৰু জাপানৰ মাজত বুজাবুজিৰ চুক্তিত অনুমোদন জনাইছে৷
The Prime Minister, Shri Narendra Modi, will visit Mumbai on 11th August, 2018.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে অহা ১১ আগষ্ট, ২০১৮ত মুম্বাই ভ্ৰমণ কৰিব৷
