Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	নতুন দিল্লিতে সোমবার প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর সঙ্গে নেদারন্যান্ডসের মহারানী ম্যাক্সিমা সাক্ষাৎ করেন।
He said he wants to convert these districts, hitherto labelled as “backward” into aspirational and ambitious districts.	পিছিয়ে পড়া এই জেলাগুলি উচ্চাকাঙ্ক্ষী জেলা রূপে পরিগণিত হোক, এই তাঁর কামনা।
These districts will no longer remain dependent and backward, he asserted.	ভবিষ্যতে এই সমস্ত জেলা আর কখনওই অনগ্রসর বা অন্যের ওপর নির্ভরশীল হয়ে থাকবে না।
He said the Government is working with a different approach on these 115 districts.	দেশের ১১৫টি জেলায় যে এক বিশেষ দৃষ্টিভঙ্গির সঙ্গে কর্মসূচি রূপায়ণে সচেষ্ট রয়েছে তাঁর সরকার, একথাও প্রসঙ্গত উল্লেখ করেন তিনি।
He said that in the first phase of this scheme, an effort would be made to bring about a sea change in primary healthcare.	কর্মসূচি রূপায়ণের প্রথম ধাপেই প্রাথামিক স্বাস্থ্য পরিচর্যা ক্ষেত্রে আমূল পরিবর্তন নিয়ে আসা হবে বলে ঘোষণা করেন তিনি।
He said sub centres and primary health centres at 1.5 lakh places in the country would now be developed as Health and Wellness Centres.	প্রধানমন্ত্রী বলেন,দেশের ১.৫ লক্ষ প্রাথমিক স্বাস্থ্যকেন্দ্র এবং উপ-স্বাস্থ্যকেন্দ্রকে উন্নতমানের স্বাস্থ্য ও চিকিৎসাকেন্দ্রে রূপান্তরিত করা হবে।
He said the aim is to complete this task by 2022.	আগামী ২০২২ সালের মধ্যে এই কাজ সম্পূর্ণ করার লক্ষ্যমাত্রা স্থির হয়েছে।
He said these Health and Wellness Centres would function like a family doctor for the poor.	এই কেন্দ্রগুলি দরিদ্র সাধারণ মানুষের কাছে পারিবারিক চিকিৎসার সুযোগ পৌঁছে দেবে।
He said the next target of Ayushman Bharat would be to provide financial assistance of upto Rs. 5 lakh to the poor, for medical treatment.	শ্রী মোদী বলেন, ‘আয়ুষ্মান ভারত’ কর্মসূচির পরবর্তী লক্ষ্য হবে চিকিৎসার জন্য দরিদ্র সাধারণ মানুষকে ৫ লক্ষ টাকা পর্যন্ত আর্থিক সহায়তাদান।
The Prime Minister appreciated the Chief Minister of Chhattisgarh, Dr. Raman Singh, for the development work done in the State over the last fourteen years.	ছত্তিশগড়ের মুখ্যমন্ত্রী ডঃ রমন সিং-এর বিশেষ প্রশংসা করে প্রধানমন্ত্রী বলেন যে গত ১৪ বছর ধরে এই রাজ্যে নানা ধরনের উন্নয়নমূলক কর্মসূচি রূপায়িত হচ্ছে।
In particular, he appreciated the development initiatives carried out in the southern districts of Sukma, Dantewada and Bijapur.	বিশেষত, সুকমা, দান্তেওয়াড়া এবং বিজাপুরের মতো দক্ষিণ জেলাগুলিতে যে উন্নয়ন প্রচেষ্টা বাস্তবায়িত হয়েছে, তার ভূয়সী প্রশংসা করেন তিনি।
He said Bastar would soon be recognised as an economic hub.	ঘোষণা করেন যে বস্তার জেলাকেও অনতিবিলম্বে একটি অর্থনৈতিক উন্নয়ন কেন্দ্রের স্বীকৃতি দেওয়া হবে।
He emphasized the importance of connectivity for ending regional imbalances.	উন্নয়নের ক্ষেত্রে আঞ্চলিক স্তরে যে ভারসাম্যহীনতা রয়ে গেছে, তা দূর করতে সংযোগ ও যোগাযোগ ব্যবস্থার প্রসারের ওপর গুরুত্ব আরোপ করেন তিনি।
In this context, he mentioned the connectivity projects launched today.	প্রসঙ্গত তিনি উল্লেখ করেন এদিনের উদ্বোধন করা সংযোগ ও যোগাযোগ প্রকল্পগুলির কথা।
He mentioned schemes such as Swachh Bharat Mission, Beti Bachao – Beti Padhao, and Ujjwala Yojana, which have benefited women.	প্রধানমন্ত্রী বলেন যে ‘স্বচ্ছ ভারত মিশন’, ‘বেটি বাঁচাও বেটি পড়াও’ এবং ‘উজ্জ্বলা’ যোজনার মতো কর্মসূচিগুলি দেশের মহিলাদের প্রভূত কল্যাণসাধন করেছে।
The Prime Minister, Shri Narendra Modi, today addressed the Rashtriya Jan Jagriti Dharam Sammelan at Srisailam via video conference.	প্রধানমন্ত্রী শ্রী নরেন্দ্রমোদী আজ ভিডিও কনফারেন্সিং-এর মাধ্যমে শ্রীশৈলম-এ রাষ্ট্রীয় জনজাগৃতি ধর্মসম্মেলনে ভাষণ দিয়েছেন।
Wishing everyone on the occasion of Ugadi, the Prime Minister said that Ugadi is a festival of new beginnings and new hopes.	উগাড়ি উপলক্ষে প্রধানমন্ত্রী সবাইকে শুভেচ্ছা জানিয়ে বলেন, এটিনতুন করে শুরু করার এবং নতুন আশার উ ৎ সব।
The Prime Minister said that the Government is working on various schemes with clear targets and timelines.	প্রধানমন্ত্রী বলেন, সরকার সুনির্দিষ্ট লক্ষ্যমাত্রা এবং সময়সীমার মধ্যেবিভিন্ন ধরনের প্রকল্প রূপায়ণের কাজ করে যাচ্ছে।
In this context, he mentioned the progress made in terms of opening Jan Dhan accounts, insurance for the poor, Ujjwala cooking gas connections, Mudra Yojana and Pradhan Mantri Awaas Yojana etc.	এইপ্রসঙ্গে তিনি জন-ধন অ্যাকাউন্ট খোলার কাজ, দরিদ্রদের জন্য বিমার ব্যবস্হা,উজ্জ্বলা গ্যাস যোজনা, মুদ্রা যোজনা এবং প্রধানমন্ত্রী আবাস যোজনা অগ্রগতির কথাতুলে ধরেন।
He said the speed of infrastructure development has significantly increased.	শ্রীমোদী বলেন যে আমাদের দেশে পরিকাঠামো উন্নয়নের কাজের গতি উল্লেখযোগ্যভাবে বৃদ্ধিপেয়েছে।
He also mentioned the Ayushman Bharat scheme and the National Nutrition Mission.	তিনি আয়ুষ্মান ভারত এবং জাতীয় পুষ্টি মিশনের কথা-ও উল্লেখ করেন।
He said that the Swachh Bharat Mission has led to significant increase in sanitation coverage in the country.	তিনিবলেন, স্বচ্ছ ভারত অভিযান কর্মসূচি রূপায়ণের ফলে দেশে পরিচ্ছন্নতা কাজের পরিধিউল্লেখযোগ্যভাবে বৃদ্ধি পেয়েছে।
The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has approved the policy for providing preference to domestically manufactured iron & steel products on Government procurement.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদির পৌরহিত্যেকেন্দ্রীয় মন্ত্রিসভা সরকারি কাজেরজন্য সংগ্রহের ক্ষেত্রে দেশীয়ভাবে উত্পাদিত লোহা ও ইস্পাতের পণ্যকে অগ্রাধিকারদেওয়ার নীতির অনুমোদন দিল|
This policy seeks to accomplish the PM’s vision of ‘Make in India’ with objective of nation building and encourage encourage domestic manufacturing.	দেশগঠন ও দেশীয় উত্পাদনের উদ্দেশ্যে প্রধানমন্ত্রীর লক্ষ্য ‘মেক ইন ইন্ডিয়া’-কেপ্রতিপাদন করার জন্য এই নীতি|
The policy is applicable on all government tenders where price bid is yet to be opened,	অগ্রাধিকার দেওয়ার জন্য নির্দেশ দেওয়া হয়েছে এই নীতিতে| যেসব দর-প্রস্তাবএখনও খোলা হয়েনি, সে ধরনের সমস্ত সরকারি দরপত্রের ক্ষেত্রেই প্রযোজ্য হবে এই নীতি|
In case any manufacturer is aggrieved, a grievance redressal committee set up under the Ministry op Steel shall dispose of the complaint in a time bound manner, in four weeks	কোনো কারণে যদি কোনো উত্পাদনকারী অসন্তুষ্ট হন, তাহলেইস্পাত মন্ত্রকের অধীনে গঠিত অভিযোগ নিষ্পত্তি কমিটি সুনির্দিষ্ট সময় অর্থাত চারসপ্তাহের মধ্যে সেই অভিযোগের নিষ্পত্তি করবে|
There are provisions in the policy for waivers to all such procurements, where specific grades of steel are not manufactured in the country, or the quantities as per the demand of the project cannot be met through domestic sources.	যেখানে সুনির্দিষ্ট মানের ইস্পাত দেশে উত্পাদিত হচ্ছেনা, অথবা প্রকল্পের চাহিদা অনুসারে পরিমাণ মত ইস্পাত দেশীয় উত্স-এর মাধ্যমে পূরণকরা যাবে না, সেখানে এ ধরনের সমস্ত ক্রয়ের ক্ষেত্রে মুকুবের সংস্থান রয়েছে এইনীতিতে|
The Prime Minister Shri Narendra Modi has greeted the people of Nagaland on their Statehood Day.	নাগাল্যান্ডের প্রতিষ্ঠা দিবসে প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী নাগাল্যান্ডের জনগণকে শুভেচ্ছা জানিয়েছেন।
“Statehood Day greetings to the people of Nagaland.	প্রধানমন্ত্রী বলেন, “নাগাল্যান্ডের জনগণকে প্রতিষ্ঠা দিবসের শুভেচ্ছা।
The Prime Minister, Shri Narendra Modi, today attended a book release function to commemorate Constitution Day, at Parliament House Annexe.	আজসংসদ ভবন সংলগ্ন স্থানে সংবিধান দিবস স্মরণে এক বই প্রকাশ অনুষ্ঠানে যোগ দেনপ্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী।
Two books: an updated version of the Constitution of India; and “Making of the Constitution” were released on the occasion.	আজকের এই অনুষ্ঠানে ভারতীয় সংবিধানের একটি নতুনসংস্করণ এবং ‘মেকিং অফ দ্য কনস্টিটিউশন’ নামে আরেকটি বই প্রকাশ করা হয়।
Speaking on the occasion, the Prime Minister said that 26 November is being celebrated as Constitution Day since 2015.	অনুষ্ঠানেবক্তব্য রাখতে গিয়ে প্রধানমন্ত্রী বলেন যে ২৬ নভেম্বর দিনটি সংবিধান দিবস রূপেপালিত হয়ে আসছে ২০১৫ থেকেই।
He said that successive generations should be well acquainted with the Constitution, and recall it in the contemporary context.	পরবর্তী প্রজন্মগুলির উচিৎ সংবিধানের সঙ্গে পরিচিতহওয়া এবং সমসাময়িক প্রেক্ষাপটে তার তাৎপর্য অনুভব ও উপলব্ধি করা।
The Prime Minister said that In India, when we recall the Constitution, we also recall Babasaheb Ambedkar.	শ্রীমোদী বলেন, ভারতে আমরা যখন সংবিধানের কথা বলি, তখন আমরা স্মরণ করি বাবা সাহেবআম্বেদকরকেও।
Noting the importance of Constitution Day, the Prime Minister said 26 January (our Republic Day) could not have been celebrated without 26 November.	সংবিধানদিবসের গুরুত্ব প্রসঙ্গে প্রধানমন্ত্রী বলেন, ২৬ নভেম্বর – এই দিনটি ছাড়া ২৬জানুয়ারি অর্থাৎ, সাধারণতন্ত্র দিবস উদযাপনের কথাআমরা ভাবতেই পারতামনা।
The Prime Minister said that the common citizen has today become a soldier in the fight against corruption and black money.	কালোটাকা ও দুর্নীতির বিরুদ্ধে দেশের সাধারণ নাগরিকরা আজ বীর সেনানীর মতোই জেহাদ ঘোষণাকরেছেন বলে মন্তব্য করেন শ্রী নরেন্দ্র মোদী।
He encouraged people to use digital modes of money exchange to the extent possible, as this would increase transparency.	যথাসম্ভব ডিজিটাল পদ্ধতির সাহায্যেলেনদেনের কাজে উদ্যোগী হতে তিনি উৎসাহ দেন জনসাধারণকে।
Our Army always puts the nation first.	আমাদের সেনা বাহিনীর কাছে জাতিই হ’ল সর্বাগ্রে।
The MoU envisages establishing a Joint Working Committee to review, monitor and discuss matters relation to areas of cooperation.	সমঝোতাটিতে সহযোগিতার চিহ্নিত ক্ষেত্রে কাজের অগ্রগতি পর্যালোচনা, নজরদারি এবং আলোচনার জন্য একটি যৌথ কর্মীগোষ্ঠী গঠনের সংস্হান রয়েছে।
The MoU aims for exchange of expertise and networking of information.	এছাড়া কৃৎকৌশল এবং তথ্যে নেটওয়ার্কিং-এর কথাও এতে বলা হয়েছে।
It is always a pleasure to meet him.	প্রধানমন্ত্রী বলেন, রাষ্ট্রপতি পুতিনের সঙ্গে সাক্ষাতে তিনি সর্বদাই আনন্দিত হয়েছেন।
The Prime Minister elaborated on the rich spiritual traditions of Myanmar.	মায়ানমারের সমৃদ্ধ, আধ্যাত্মিক ঐতিহ্যের প্রসঙ্গওপ্রধানমন্ত্রী তুলে ধরেন তাঁর এদিনের বক্তব্যে।
The Prime Minister said that the Union Government in India is focusing on infrastructure.	ভারত সরকার যে দেশে পরিকাঠামো প্রসারের বিষয়টিকেবিশেষভাবে গুরুত্ব দিয়ে চলেছেন, সেকথারও উল্লেখ করেন প্রধানমন্ত্রী।
He said that the Government has not shied away from taking decisions that are tough.	প্রয়োজনেকঠিন সিদ্ধান্ত গ্রহণের ক্ষেত্রেও যে তাঁর সরকার দ্বিধাগ্রস্ত নয়, একথাও তিনি উচ্চারণকরেন সমাবেশে ভাষণদানকালে।
The Prime Minister said GST is ushering in a new culture across the nation.	শ্রী মোদী বলেন, পণ্য ও পরিষেবা কর অর্থাৎ জিএসটিদেশে এক নতুন সংস্কৃতি গড়ে তুলতে চলেছে।
The Prime Minister said that people-to-people ties are the strength of India-Myanmar relations.	দু’দেশের জনসাধারণের মধ্যে পারস্পরিক সংযোগ ওযোগাযোগ যে ভারত-মায়ানমার সম্পর্কে শক্তি বৃদ্ধি করে চলেছে একথাও উল্লেখ করেনপ্রধানমন্ত্রী তাঁর এদিনের বক্তব্যে।
The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has given its approval for Signing of Memorandum of Understanding (MoU) between India and United Arab Emirates in the field of agriculture and allied sectors.	কৃষি ও সংশ্লিষ্ট অন্যান্য ক্ষেত্রে ভারত এবং সংযুক্ত আরব আমিরশাহিরমধ্যে মউ স্বাক্ষরের একটি প্রস্তাব অনুমোদিত হল কেন্দ্রীয় মন্ত্রিসভার বৈঠকে।প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর নেতৃত্বে এই বৈঠক আজ এখানে অনুষ্ঠিত হয়।
The MoU will be mutually beneficial to both countries.	এই মউ স্বাক্ষরের ফলে উপকৃত হবে দুটি দেশই।
The NCMC is a multi level coordination centre designed to provide inter-agency coordination and alert the people about the threat of emergency situations.	এই কেন্দ্রটি আপৎকালীন পরিস্থিতিতে সম্ভাব্য বিপদের ভয়াবহতা সম্পর্কে জনসাধারণকে আগাম সতর্কতা দেওয়ার সঙ্গে সঙ্গে পরিস্থিতির মোকাবিলায় বিভিন্ন এজেন্সির সঙ্গে সমন্বয়সাধনের দায়িত্বও পালন করে।
The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has given its ex-post facto approval for the Memorandum of Understanding (MoU) between Insurance Regulatory and Development Authority of India (IRDAI) and the Insurance Authority of United Arab Emirates.	ভারতের বিমা নিয়ন্ত্রণ ও উন্নয়ন কর্তৃপক্ষ (আইআরডিএআই)-এর সঙ্গে সংযুক্ত আরব আমিরশাহীর বিমা কর্তৃপক্ষের মধ্যে যে মউটি স্বাক্ষরিত হয়েছিল এ বছর ফেব্রুয়ারি মাসে তাতে কর্মপরবর্তী অনুমোদন দিলে কেন্দ্রীয় মন্ত্রিসভা।
The MoU was signed in February, 2016.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর নেতৃত্বে বুধবার মন্ত্রিসভার বৈঠকটি অনুষ্ঠিত হয়।
PM addresses United Nations Summit for the adoption of Post-2015 Development Agenda	শুক্রবার ২০১৫-পরবর্তী উন্নয়নসূচি সম্পর্কিত রাষ্ট্রসঙ্ঘের শীর্ষ সম্মেলনে ভাষণ দিলেন প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী।
The Prime Minister met UN Secretary General Ban Ki Moon.	প্রধানমন্ত্রী দেখা করেন রাষ্ট্রসঙ্ঘের মহাসচিব বান কি মুন-এর সঙ্গেও।
UN peacekeeping operations and reform of the United Nations Security Council came up for discussion.	রাষ্ট্রসঙ্ঘের শান্তি রক্ষা সংক্রান্ত কাজকর্ম এবং রাষ্ট্রসঙ্ঘের নিরাপত্তা পরিষদের সংস্কার প্রসঙ্গেও তাঁদের মধ্যে কথাবার্তা হয়।
On the subject of climate change, the Prime Minister said there is currently a trust deficit between developed and developing countries.	জলবায়ু পরিবর্তন প্রসঙ্গে প্রধানমন্ত্রী বলেন, বর্তমানে উন্নত ও উন্নয়নশীল দেশগুলির মধ্যে এ ব্যাপারে আস্থার অভাব রয়েছে।
He also said focus should be on positive goals, and not just on reducing emissions.	শুধুমাত্র দুষণ নির্গমনের ওপরই নয়, দৃষ্টি দেওয়া উচিত ইতিবাচক লক্ষ্যের দিকেও।
The Prime Minister met King Abdullah II Ibn Al Hussein, King of the Hashemite Kingdom of Jordan.	জর্ডন-এর রাজা আব্দুল্লা আল হোসেন-এর সঙ্গেও প্রধানমন্ত্রীর সাক্ষাৎকার অনুষ্ঠিত হয়।
The danger posed by ISIS and the issue of terrorism came up for discussion.	আই.এস.আই.এস.-এর বিপদ এবং সন্ত্রাসবাদ প্রসঙ্গে তাঁদের মধ্যে কথাবার্তা হয়।
The Prime Minister said a global response is required on the issue of terrorism.	সন্ত্রাসবাদের মোকাবিলায় সারা বিশ্বকেই এগিয়ে আসতে হবে বলে প্রধানমন্ত্রী মতপ্রকাশ করেন।
The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has approved the signing of Air Services Agreement between India and Rwanda.	ভারত ও রোয়ান্ডার মধ্যে বিমান পরিষেবা চুক্তি সংক্রান্ত একটি প্রস্তাব গতকাল অনুমোদিত হ’লপ্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর নেতৃত্বে অনুষ্ঠিত কেন্দ্রীয় মন্ত্রিসভার বৈঠকে।
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved the Memorandum of Understanding (MoU) between India and Russia on Bilateral Cooperation in the Road Transport and Road Industry.	ভারত ও রাশিয়ার মধ্যে সড়ক পরিবহণ ও সড়ক শিল্পক্ষেত্রে দ্বিপাক্ষিক সহযোগিতা সংক্রান্ত একটি সমঝোতাপত্র স্বাক্ষরের প্রস্তাবে আজ (তেসরা অক্টোবর) অনুমোদন দিল কেন্দ্রীয় মন্ত্রিসভা।
Russia has developed technological solutions for satellite based tolling solutions.	প্রসঙ্গত, উপগ্রহ-ভিত্তিক টোল ব্যবস্থা রূপায়ণের জন্য রাশিয়া প্রযুক্তিগত ব্যবস্থা তৈরি করেছে।
I thank the President of ECOSOC for inviting me to address the special meeting today to commemorate the 70th anniversary of the Economic and Social Council.	অর্থনৈতিক ও সামাজিক পরিষদের ৭০তম বার্ষিকী স্মরণে আজকের এই বিশেষ সমাবেশে বক্তব্য রাখার জন্য আমাকে আমন্ত্রণ জানানোয় পরিষদের সভাপতিকে ধন্যবাদ জানাই।
On this occasion, I extend my sincere greetings and congratulations to all members of United Nations.	এই উপলক্ষে, রাষ্ট্রসংঘের সকল সদস্যকে জানাই আমার আন্তরিক অভিনন্দন।
The ECOSOC is a key pillar of the United Nations structure.	অর্থনৈতিক ও সামাজিক পরিষদ হল রাষ্ট্রসংঘের কাঠামোর মূল স্তম্ভ।
Its creation as a distinct part of United Nations is a testimony to the centrality of development in the vision of the founders of the UN.	যেভাবে রাষ্ট্রসংঘের একটি বিশেষ অঙ্গ হিসেবে এটি গড়ে তোলা হয়েছে, তাতে রাষ্ট্রসংঘের প্রতিষ্ঠাতাদের মূল লক্ষ্যবিন্দু ছিল যে উন্নয়ন, তা প্রমাণিত হয়েছে।
To achieve a peaceful and prosperous world, we need to put in place, first and foremost, conditions for rapid socio-economic development; improvement in the human condition, and an end to hunger and deprivation.	বিশ্বের শান্তি ও সমৃদ্ধির জন্য সর্বাগ্রে প্রয়োজন আর্থ-সামাজিক বিকাশ, মানুষের জীবনযাত্রার মানোন্নয়ন এবং ক্ষুধা ও বঞ্চনার অবলুপ্তি।
India was a proud participant in the creation of this body.	এই প্রতিষ্ঠান গড়ে তোলার ক্ষেত্রে অংশগ্রহণের সুযোগ পাওয়ায় ভারত নিজেকে গর্বিত মনে করে।
An eminent citizen of India, Arcot Ramaswamy Mudaliar, was a key architect of ECOSOC.	ভারতের বিশিষ্ট নাগরিক আর্কট রামস্বামী মুদালিয়ার ছিলেন অর্থনৈতিক ও সামাজিক পরিষদের মূল স্থপতি।
He had the privilege of serving as the first President of ECOSOC at its inaugural session in 1946.	১৯৪৬ সালে অর্থনৈতিক ও সামাজিক পরিষদের উদ্বোধনী অধিবেশনে প্রথম সভাপতি হওয়ার সুযোগ তিনি লাভ করেছিলেন।
In his opening address to the ECOSOC’s first session, Ramaswamy defined what he saw was the role ECOSOC had to play in subsequent years.	অর্থনৈতিক ও সামাজিক পরিষদের উদ্বোধনী ভাষণে তিনি বলেছিলেন যে, সেই সময়কার পরিস্থিতি তিনি যা প্রত্যক্ষ করছেন, তাতে পরবর্তী বছরগুলিতেও অর্থনৈতিক ও সামাজিক পরিষদকে এই ভূমিকা পালন করে যেতে হবে।
70 years have passed since this body was created.	এই প্রতিষ্ঠান গঠনের পর অতিক্রান্ত হয়েছে ৭০টি বছর।
We are now 15 years into the 21st century.	একুশ শতকের ১৫তম বছরটিও আমরা অতিক্রম করে এসেছি।
But has the ECOSOC managed to fulfill the expectations of our founders?	কিন্তু, অর্থনৈতিক ও সামাজিক পরিষদের প্রতিষ্ঠাতাদের প্রত্যাশাপূরণ কি বাস্তবায়িত হয়েছে?
It is also the most important unfulfilled objective of the United Nations.	রাষ্ট্রসংঘের যে সমস্ত উদ্দেশ্য অপূর্ণ থেকে গেছে এটি হল তার মধ্যে সবচেয়ে বেশি গুরুত্বপূর্ণ।
The 70th anniversary of the ECOSOC could not have come at a more appropriate moment.	অর্থনৈতিক ও সামাজিক পরিষদের ৭০তম বার্ষিকীর এই মূহুর্তটি তাই বিশেষভাবে তাৎপর্যময়।
The international community has just given to itself a new comprehensive vision of development.	আন্তর্জাতিক ক্ষেত্রে উন্নয়নকে আজ এক নতুন দৃষ্টিতে দেখা হচ্ছে।
The ‘2030 Agenda for Sustainable Development’, presents a valuable opportunity for the UN system to rethink its role and purpose, and make itself more effective.	নিরন্তর উন্নয়নের লক্ষ্যে ২০৩০ সাল পর্যন্ত যে কর্মসূচি ছকে ফেলা হয়েছে তার পরিপ্রেক্ষিতে রাষ্ট্রসংঘের ভূমিকা ও উদ্দেশ্যকে আরও সফল করে তোলার সু্যোগ এখন উপস্থিত।
It is now the responsibility of ECOSOC to rise up to this challenge and contribute to making this Agenda a success.	অর্থনৈতিক ও সামাজিক পরিষদের এখন দায়িত্বই হল এই চ্যালেঞ্জের মোকাবিলা করে কর্মসূচিকে সফল করে তোলা।
The 2030 Agenda is a reflection of the challenges faced by poorer countries.	অপেক্ষাকৃত দরিদ্র দেশগুলি যে সমস্ত চ্যালেঞ্জের সম্মুখীন তারই প্রতিফলন ঘটেছে ২০৩০ সাল পর্যন্ত রচিত কর্মসূচিতে।
